,SMA
2016-11-30,110.2443
2016-12-01,110.1941
2016-12-02,110.1305
2016-12-05,110.0981
2016-12-06,110.0894
2016-12-07,110.0868
2016-12-08,110.0844
2016-12-09,110.1155
2016-12-12,110.1200
2016-12-13,110.1558
2016-12-14,110.1903
2016-12-15,110.2205
2016-12-16,110.2435
2016-12-19,110.2805
2016-12-20,110.3122
2016-12-21,110.3740
2016-12-22,110.4313
2016-12-23,110.4980
2016-12-27,110.5737
2016-12-28,110.6378
2016-12-29,110.6791
2016-12-30,110.6975
2017-01-03,110.7385
2017-01-04,110.7834
2017-01-05,110.8145
2017-01-06,110.8727
2017-01-09,110.9536
2017-01-10,111.0497
2017-01-11,111.1658
2017-01-12,111.2805
2017-01-13,111.4195
2017-01-17,111.5690
2017-01-18,111.7445
2017-01-19,111.9262
2017-01-20,112.0625
2017-01-23,112.1863
2017-01-24,112.3157
2017-01-25,112.5042
2017-01-26,112.6942
2017-01-27,112.9106
2017-01-30,113.0788
2017-01-31,113.2294
2017-02-01,113.3802
2017-02-02,113.5372
2017-02-03,113.6780
2017-02-06,113.8150
2017-02-07,113.9696
2017-02-08,114.1210
2017-02-09,114.2861
2017-02-10,114.4515
2017-02-13,114.6574
2017-02-14,114.9094
2017-02-15,115.1714
2017-02-16,115.4158
2017-02-17,115.6655
2017-02-21,115.8994
2017-02-22,116.1304
2017-02-23,116.3347
2017-02-24,116.5538
2017-02-27,116.7479
2017-02-28,116.9390
2017-03-01,117.1534
2017-03-02,117.3636
2017-03-03,117.5692
2017-03-06,117.7606
2017-03-07,117.9496
2017-03-08,118.1493
2017-03-09,118.3494
2017-03-10,118.5482
2017-03-13,118.7688
2017-03-14,118.9866
2017-03-15,119.2427
2017-03-16,119.4773
2017-03-17,119.6987
2017-03-20,119.9096
2017-03-21,120.0629
2017-03-22,120.2252
2017-03-23,120.3763
2017-03-24,120.5262
2017-03-27,120.6836
2017-03-28,120.8483
2017-03-29,121.0313
2017-03-30,121.2139
2017-03-31,121.3958
2017-04-03,121.5712
2017-04-04,121.7487
2017-04-05,121.9003
2017-04-06,122.0298
2017-04-07,122.1555
2017-04-10,122.2777
2017-04-11,122.4075
2017-04-12,122.5321
2017-04-13,122.6306
2017-04-17,122.7516
2017-04-18,122.8621
2017-04-19,122.9737
2017-04-20,123.0973
2017-04-21,123.2165
2017-04-24,123.3572
2017-04-25,123.5082
2017-04-26,123.6421
2017-04-27,123.7832
2017-04-28,123.9145
2017-05-01,124.0694
2017-05-02,124.2181
2017-05-03,124.3465
2017-05-04,124.4748
2017-05-05,124.6218
2017-05-08,124.7698
2017-05-09,124.9238
2017-05-10,125.0868
2017-05-11,125.2210
2017-05-12,125.3735
2017-05-15,125.5298
2017-05-16,125.7024
2017-05-17,125.8123
2017-05-18,125.9403
2017-05-19,126.0774
2017-05-22,126.2259
2017-05-23,126.3730
2017-05-24,126.5381
2017-05-25,126.7104
2017-05-26,126.8892
2017-05-30,127.0710
2017-05-31,127.2497
2017-06-01,127.4764
2017-06-02,127.7171
2017-06-05,127.9634
2017-06-06,128.1939
2017-06-07,128.4309
2017-06-08,128.6558
2017-06-09,128.8014
2017-06-12,128.9288
2017-06-13,129.0792
2017-06-14,129.2196
2017-06-15,129.3444
2017-06-16,129.4680
2017-06-19,129.6339
2017-06-20,129.7804
2017-06-21,129.9520
2017-06-22,130.1336
2017-06-23,130.3353
2017-06-26,130.5344
2017-06-27,130.6650
2017-06-28,130.8369
2017-06-29,130.9590
2017-06-30,131.0613
2017-07-03,131.1367
2017-07-05,131.2073
2017-07-06,131.2362
2017-07-07,131.2965
2017-07-10,131.3585
2017-07-11,131.4233
2017-07-12,131.4965
2017-07-13,131.5713
2017-07-14,131.6753
2017-07-17,131.7797
2017-07-18,131.8926
2017-07-19,132.0158
2017-07-20,132.1335
2017-07-21,132.2485
2017-07-24,132.3781
2017-07-25,132.4949
2017-07-26,132.6122
2017-07-27,132.7014
2017-07-28,132.8553
2017-07-31,132.9752
2017-08-01,133.0904
2017-08-02,133.1911
2017-08-03,133.2786
2017-08-04,133.3589
2017-08-07,133.4341
2017-08-08,133.4997
2017-08-09,133.5596
2017-08-10,133.5620
2017-08-11,133.5742
2017-08-14,133.5905
2017-08-15,133.6092
2017-08-16,133.6434
2017-08-17,133.6113
